Date,Total Traffic,% Change From 2019 Weekday/Saturday/Sunday Average
6/24/2020,752750,-19.1%
6/23/2020,744822,-20.0%
6/22/2020,733291,-21.2%
6/21/2020,654914,-22.3%
6/20/2020,666226,-26.8%
6/19/2020,797519,-14.3%
6/18/2020,729487,-21.6%
6/17/2020,709680,-23.7%
6/16/2020,695359,-25.3%
6/15/2020,674785,-27.5%
6/14/2020,563725,-33.1%
6/13/2020,631065,-30.6%
6/12/2020,765492,-17.7%
6/11/2020,656696,-29.4%
6/10/2020,680270,-26.9%
6/9/2020,680462,-26.9%
6/8/2020,644830,-30.7%
6/7/2020,538419,-36.1%
6/6/2020,551793,-39.3%
6/5/2020,643562,-30.8%
6/4/2020,650868,-30.1%
6/3/2020,582624,-37.4%
6/2/2020,579412,-37.7%
6/1/2020,595060,-36.1%
5/31/2020,495488,-41.2%
5/30/2020,444761,-51.1%
5/29/2020,598608,-35.7%
5/28/2020,584629,-37.2%
5/27/2020,601140,-35.4%
5/26/2020,587270,-36.9%
5/25/2020,445015,-52.2%
5/24/2020,461171,-45.3%
5/23/2020,394091,-56.7%
5/22/2020,626984,-32.6%
5/21/2020,585553,-37.1%
5/20/2020,542409,-41.7%
5/19/2020,524483,-43.6%
5/18/2020,505315,-45.7%
5/17/2020,391606,-53.5%
5/16/2020,477098,-47.6%
5/15/2020,520395,-44.1%
5/14/2020,520395,-44.1%
5/13/2020,509243,-45.3%
5/12/2020,488406,-47.5%
5/11/2020,458042,-50.8%
5/10/2020,415868,-50.7%
5/9/2020,371426,-59.2%
5/8/2020,483831,-48.0%
5/7/2020,488836,-47.5%
5/6/2020,444179,-52.3%
5/5/2020,462086,-50.3%
5/4/2020,447424,-51.9%
5/3/2020,353314,-58.1%
5/2/2020,401621,-55.9%
5/1/2020,445621,-52.1%
4/30/2020,405169,-56.5%
4/29/2020,410502,-55.9%
4/28/2020,436347,-53.1%
4/27/2020,384124,-58.7%
4/26/2020,231541,-72.5%
4/25/2020,350300,-61.5%
4/24/2020,386935,-58.4%
4/23/2020,386938,-58.4%
4/22/2020,398703,-57.2%
4/21/2020,356099,-61.7%
4/20/2020,371776,-60.1%
4/19/2020,276406,-67.2%
4/18/2020,254735,-72.0%
4/17/2020,326907,-64.9%
4/16/2020,346342,-62.8%
4/15/2020,340213,-63.4%
4/14/2020,356104,-61.7%
4/13/2020,284609,-69.4%
4/12/2020,217871,-74.1%
4/11/2020,254755,-72.0%
4/10/2020,314100,-66.2%
4/9/2020,303481,-67.4%
4/8/2020,324882,-65.1%
4/7/2020,332108,-64.3%
4/6/2020,335769,-63.9%
4/5/2020,177590,-78.9%
4/4/2020,243323,-73.3%
4/3/2020,295626,-68.2%
4/2/2020,339734,-63.5%
4/1/2020,342222,-63.2%
3/31/2020,337626,-63.7%
3/30/2020,344690,-63.0%
3/29/2020,197154,-76.6%
3/28/2020,240702,-73.5%
3/27/2020,344434,-63.0%
3/26/2020,390117,-58.1%
3/25/2020,375767,-59.6%
3/24/2020,395493,-57.5%
3/23/2020,361514,-61.2%
3/22/2020,277051,-67.1%
3/21/2020,382993,-57.9%
3/20/2020,563262,-39.5%
3/19/2020,569696,-38.8%
3/18/2020,634853,-31.8%
3/17/2020,650455,-30.1%
3/16/2020,708870,-23.8%
3/15/2020,535988,-36.4%
3/14/2020,631101,-30.6%
3/13/2020,860419,-7.5%
3/12/2020,881188,-5.3%
3/11/2020,866706,-6.9%
3/10/2020,855585,-8.1%
3/9/2020,860073,-7.6%
3/8/2020,758580,-10.0%
3/7/2020,820830,-9.8%
3/6/2020,938167,0.8%
3/5/2020,929298,-0.1%
3/4/2020,905558,-2.7%
3/3/2020,882175,-5.2%
3/2/2020,874620,-6.0%
3/1/2020,786961,-6.6%
