Date,Total Estimated Ridership,% Change From 2019 Weekday/Saturday/Sunday Average
6/24/2020,1096000,-49%
6/23/2020,1083800,-50%
6/22/2020,1014900,-53%
6/21/2020,592400,-42%
6/20/2020,768400,-43%
6/19/2020,1034900,-52%
6/18/2020,977300,-55%
6/17/2020,976900,-55%
6/16/2020,960700,-56%
6/15/2020,940800,-56%
6/14/2020,571200,-44%
6/13/2020,706800,-47%
6/12/2020,966300,-55%
6/11/2020,830100,-62%
6/10/2020,914700,-58%
6/9/2020,916900,-58%
6/8/2020,863400,-60%
6/7/2020,531900,-48%
6/6/2020,648000,-52%
6/5/2020,772900,-64%
6/4/2020,797700,-63%
6/3/2020,741200,-66%
6/2/2020,724400,-66%
6/1/2020,764300,-65%
5/31/2020,468300,-54%
5/30/2020,622000,-53%
5/29/2020,720800,-67%
5/28/2020,710800,-67%
5/27/2020,719200,-67%
5/26/2020,709000,-67%
5/25/2020,531600,-75%
5/24/2020,461200,-55%
5/23/2020,460700,-66%
5/22/2020,690200,-68%
5/21/2020,655300,-70%
5/20/2020,654800,-70%
5/19/2020,643600,-70%
5/18/2020,624200,-71%
5/17/2020,413500,-59%
5/16/2020,530600,-60%
5/15/2020,671500,-69%
5/14/2020,616000,-71%
5/13/2020,611300,-72%
5/12/2020,594900,-72%
5/11/2020,553300,-74%
5/10/2020,386000,-62%
5/9/2020,462400,-65%
5/8/2020,573700,-73%
5/7/2020,605600,-72%
5/6/2020,538800,-75%
5/5/2020,583400,-73%
5/4/2020,578300,-73%
5/3/2020,375900,-63%
5/2/2020,478600,-64%
5/1/2020,555300,-74%
4/30/2020,488800,-77%
4/29/2020,519600,-76%
4/28/2020,555600,-74%
4/27/2020,518400,-76%
4/26/2020,293500,-71%
4/25/2020,430800,-68%
4/24/2020,475400,-78%
4/23/2020,487300,-77%
4/22/2020,518900,-76%
4/21/2020,450900,-79%
4/20/2020,498700,-77%
4/19/2020,318100,-69%
4/18/2020,352000,-74%
4/17/2020,470300,-78%
4/16/2020,447000,-79%
4/15/2020,454100,-79%
4/14/2020,470900,-78%
4/13/2020,347800,-84%
4/12/2020,279100,-73%
4/11/2020,378200,-72%
4/10/2020,414100,-81%
4/9/2020,401900,-81%
4/8/2020,431700,-80%
4/7/2020,441000,-80%
4/6/2020,454900,-79%
4/5/2020,299600,-71%
4/4/2020,383400,-71%
4/3/2020,483800,-78%
4/2/2020,472700,-78%
4/1/2020,495400,-77%
3/31/2020,514300,-76%
3/30/2020,563900,-74%
3/29/2020,306800,-70%
3/28/2020,403700,-70%
3/27/2020,641800,-70%
3/26/2020,646100,-70%
3/25/2020,618000,-71%
3/24/2020,657800,-70%
3/23/2020,578200,-73%
3/22/2020,378900,-63%
3/21/2020,564919,-58%
3/20/2020,868602,-60%
3/19/2020,933602,-57%
3/18/2020,1059502,-51%
3/17/2020,1094949,-49%
3/16/2020,1237309,-43%
3/15/2020,711555,-30%
3/14/2020,993287,-26%
3/13/2020,1715737,-21%
3/12/2020,1938424,-10%
3/11/2020,2112967,-2%
3/10/2020,2111989,-2%
3/9/2020,2124770,-2%
3/8/2020,957163,-6%
3/7/2020,1249085,-7%
3/6/2020,2066743,-4%
3/5/2020,2244515,4%
3/4/2020,2177165,1%
3/3/2020,2228608,3%
3/2/2020,2209066,2%
3/1/2020,984908,-3%
